Consulting Firm,Start date,End date,Num Respondents,Country,Type of survey,Undecided percentage,Results
Consultant C,2024-05-07,2024-05-18,3987,Letonia,Telephone,24.35,'(Party 1: 13.0); (Party 2: 29.42); (Party 3: 2.0); (Party 4: 39.14); (Party 5: 11.3); (Party 6: 0.88); (Party 7: 4.24); (Party 8: 0.02); (Party 9: 0.0); (Party 10: 0.0); (Party 11: 0.0); (Party 12: 0.0); (Party 13: 0.0); (Party 14: 0.0); (Party 15: 0.0); (Party 16: 0.0); (Party 17: 0.0); (Party 18: 0.0)'
Consultant A,2024-05-10,2024-05-21,2419,Eslovenia,Telephone,11.49,'(Party 1: 62.67); (Party 2: 8.37); (Party 3: 12.74); (Party 4: 12.81); (Party 5: 2.01); (Party 6: 1.24)'
Consultant B,2024-05-13,2024-05-19,2155,Polonia,Telephone,30.99,'(Party 1: 72.46); (Party 2: 24.34); (Party 3: 1.77); (Party 4: 1.18); (Party 5: 0.19); (Party 6: 0.03); (Party 7: 0.01); (Party 8: 0.01); (Party 9: 0.01)'
Consultant A,2024-05-06,2024-05-15,3649,Italia,Telephone,37.8,'(Party 1: 66.31); (Party 2: 22.37); (Party 3: 7.07); (Party 4: 1.97); (Party 5: 1.4)'
Consultant C,2024-05-17,2024-05-29,3228,Finlandia,Telephone,12.54,'(Party 1: 11.41); (Party 2: 85.33); (Party 3: 1.4); (Party 4: 0.89); (Party 5: 0.47); (Party 6: 0.1); (Party 7: 0.17); (Party 8: 0.18); (Party 9: 0.05)'
Consultant C,2024-05-10,2024-05-23,3093,Espana,Face_to_face,23.62,'(Party 1: 19.16); (Party 2: 68.76); (Party 3: 3.06); (Party 4: 0.94)'
Consultant B,2024-05-13,2024-05-27,2199,Hungria,Internet,36.19,'(Party 1: 69.69); (Party 2: 2.66); (Party 3: 5.8); (Party 4: 18.0); (Party 5: 2.23); (Party 6: 0.47); (Party 7: 0.27); (Party 8: 0.15); (Party 9: 0.39); (Party 10: 0.03); (Party 11: 0.23); (Party 12: 0.01); (Party 13: 0.05)'
Consultant B,2024-05-14,2024-05-19,2620,Eslovenia,Telephone,10.16,'(Party 1: 85.99); (Party 2: 11.8); (Party 3: 0.89); (Party 4: 0.95); (Party 5: 0.01); (Party 6: 0.24); (Party 7: 0.1); (Party 8: 0.0); (Party 9: 0.01); (Party 10: 0.01)'
Consultant C,2024-05-17,2024-05-25,3339,Italia,Telephone,18.0,'(Party 1: 47.89); (Party 2: 37.91); (Party 3: 11.48); (Party 4: 0.03)'
Consultant C,2024-05-06,2024-05-11,2659,Paises Bajos,Internet,24.9,'(Party 1: 95.93); (Party 2: 0.07)'
Consultant C,2024-05-07,2024-05-22,3495,Irlanda,Telephone,32.79,'(Party 1: 25.37); (Party 2: 60.29); (Party 3: 2.64); (Party 4: 7.76); (Party 5: 2.42); (Party 6: 1.35); (Party 7: 0.03); (Party 8: 0.05); (Party 9: 0.04); (Party 10: 0.03)'
Consultant C,2024-05-08,2024-05-22,3857,Rumania,Face_to_face,36.45,'(Party 1: 68.3); (Party 2: 6.72); (Party 3: 20.94); (Party 4: 2.16); (Party 5: 1.85); (Party 6: 0.01); (Party 7: 0.0); (Party 8: 0.01)'
Consultant C,2024-05-17,2024-05-21,2649,Croacia,Telephone,27.69,'(Party 1: 73.08); (Party 2: 5.03); (Party 3: 0.65); (Party 4: 11.31); (Party 5: 3.16); (Party 6: 3.68); (Party 7: 2.52); (Party 8: 0.46)'
Consultant A,2024-05-14,2024-05-21,2443,Grecia,Face_to_face,30.51,'(Party 1: 11.51); (Party 2: 17.18)'
Consultant C,2024-05-14,2024-05-23,3742,Irlanda,Telephone,16.73,'(Party 1: 94.49); (Party 2: 1.17); (Party 3: 2.01); (Party 4: 0.45); (Party 5: 1.62); (Party 6: 0.09)'
Consultant C,2024-05-08,2024-05-25,3703,Polonia,Telephone,38.2,'(Party 1: 63.11); (Party 2: 7.98); (Party 3: 14.98)'
Consultant A,2024-05-07,2024-05-29,3265,Espana,Face_to_face,38.95,'(Party 1: 29.74); (Party 2: 10.74); (Party 3: 53.16)'
Consultant A,2024-05-12,2024-05-28,2971,Austria,Internet,23.72,'(Party 1: 79.17); (Party 2: 17.25); (Party 3: 0.2); (Party 4: 0.67); (Party 5: 1.34); (Party 6: 0.89); (Party 7: 0.47); (Party 8: 0.01)'
Consultant A,2024-05-19,2024-05-27,2615,Eslovenia,Face_to_face,35.39,'(Party 1: 30.96); (Party 2: 39.66); (Party 3: 25.5); (Party 4: 2.97); (Party 5: 0.44); (Party 6: 0.42)'
Consultant C,2024-05-19,2024-05-25,3935,Malta,Telephone,10.8,'(Party 1: 55.42); (Party 2: 10.96); (Party 3: 14.31); (Party 4: 1.89); (Party 5: 7.28); (Party 6: 2.13); (Party 7: 3.93); (Party 8: 0.62)'
Consultant A,2024-05-09,2024-05-20,2396,Espana,Telephone,17.76,'(Party 1: 94.32); (Party 2: 3.13); (Party 3: 1.39); (Party 4: 0.32); (Party 5: 0.22); (Party 6: 0.06); (Party 7: 0.52); (Party 8: 0.03); (Party 9: 0.0); (Party 10: 0.01); (Party 11: 0.0); (Party 12: 0.0); (Party 13: 0.0); (Party 14: 0.0); (Party 15: 0.0); (Party 16: 0.0)'
Consultant C,2024-05-19,2024-05-29,2500,Chipre,Face_to_face,36.26,'(Party 1: 72.94); (Party 2: 18.46); (Party 3: 4.96); (Party 4: 2.04); (Party 5: 0.77); (Party 6: 0.06); (Party 7: 0.14); (Party 8: 0.16); (Party 9: 0.34); (Party 10: 0.11); (Party 11: 0.0); (Party 12: 0.01)'
Consultant A,2024-05-09,2024-05-23,3453,Francia,Face_to_face,30.08,'(Party 1: 57.93); (Party 2: 5.17); (Party 3: 33.2); (Party 4: 0.58); (Party 5: 0.01); (Party 6: 2.6); (Party 7: 0.46); (Party 8: 0.0)'
Consultant B,2024-05-19,2024-05-27,2738,Croacia,Telephone,23.03,'(Party 1: 10.51); (Party 2: 55.4); (Party 3: 12.23); (Party 4: 2.32); (Party 5: 8.95); (Party 6: 9.23); (Party 7: 0.73); (Party 8: 0.52); (Party 9: 0.03); (Party 10: 0.02); (Party 11: 0.06)'
Consultant A,2024-05-08,2024-05-20,2043,Chipre,Face_to_face,27.26,'(Party 1: 56.16); (Party 2: 5.41); (Party 3: 18.9); (Party 4: 1.87); (Party 5: 1.33); (Party 6: 13.28); (Party 7: 2.1); (Party 8: 0.21); (Party 9: 0.67); (Party 10: 0.03); (Party 11: 0.04)'
Consultant C,2024-05-07,2024-05-11,3926,Francia,Internet,20.22,'(Party 1: 97.31); (Party 2: 0.04); (Party 3: 0.4); (Party 4: 1.33); (Party 5: 0.66); (Party 6: 0.04); (Party 7: 0.04); (Party 8: 0.03); (Party 9: 0.05); (Party 10: 0.07); (Party 11: 0.02); (Party 12: 0.0); (Party 13: 0.0)'
Consultant B,2024-05-09,2024-05-27,3541,Estonia,Face_to_face,10.03,'(Party 1: 44.26); (Party 2: 3.79); (Party 3: 27.05); (Party 4: 14.99); (Party 5: 2.17); (Party 6: 1.29); (Party 7: 5.76); (Party 8: 0.19); (Party 9: 0.15)'
Consultant C,2024-05-15,2024-05-30,3322,Italia,Face_to_face,14.63,'(Party 1: 88.04); (Party 2: 11.94); (Party 3: 0.0); (Party 4: 0.01); (Party 5: 0.01)'
Consultant C,2024-05-19,2024-05-25,2971,Paises Bajos,Telephone,35.59,'(Party 1: 10.21); (Party 2: 82.47); (Party 3: 6.69); (Party 4: 0.08); (Party 5: 0.16); (Party 6: 0.37); (Party 7: 0.0); (Party 8: 0.01); (Party 9: 0.0); (Party 10: 0.0); (Party 11: 0.0); (Party 12: 0.01)'
Consultant C,2024-05-11,2024-05-30,2636,Alemania,Face_to_face,36.86,'(Party 1: 30.62); (Party 2: 60.59); (Party 3: 2.97); (Party 4: 5.37); (Party 5: 0.28); (Party 6: 0.03); (Party 7: 0.06); (Party 8: 0.03); (Party 9: 0.02); (Party 10: 0.01); (Party 11: 0.02)'
Consultant B,2024-05-19,2024-05-27,2152,Croacia,Face_to_face,23.9,'(Party 1: 10.59); (Party 2: 81.47); (Party 3: 4.7); (Party 4: 1.47); (Party 5: 0.57); (Party 6: 0.16); (Party 7: 0.39); (Party 8: 0.34); (Party 9: 0.22); (Party 10: 0.01); (Party 11: 0.04); (Party 12: 0.03); (Party 13: 0.0); (Party 14: 0.0); (Party 15: 0.0); (Party 16: 0.0)'
Consultant A,2024-05-14,2024-05-25,3494,Letonia,Internet,32.95,'(Party 1: 8.62); (Party 2: 68.38); (Party 3: 19.69); (Party 4: 2.49); (Party 5: 0.36); (Party 6: 0.23); (Party 7: 0.22); (Party 8: 0.0); (Party 9: 0.0); (Party 10: 0.01)'
Consultant B,2024-05-12,2024-05-28,3884,Luxemburgo,Face_to_face,19.59,'(Party 1: 19.77); (Party 2: 0.6); (Party 3: 62.04); (Party 4: 5.17)'
Consultant A,2024-05-08,2024-05-24,3130,Luxemburgo,Internet,10.0,'(Party 1: 4.6); (Party 2: 73.63); (Party 3: 12.66); (Party 4: 0.11); (Party 5: 1.97)'
Consultant B,2024-05-05,2024-05-14,3094,Alemania,Telephone,30.91,'(Party 1: 68.97); (Party 2: 13.87); (Party 3: 16.87); (Party 4: 0.24); (Party 5: 0.02); (Party 6: 0.0); (Party 7: 0.0); (Party 8: 0.01); (Party 9: 0.01); (Party 10: 0.0); (Party 11: 0.01)'
Consultant B,2024-05-20,2024-05-27,3048,Austria,Internet,35.4,'(Party 1: 50.18); (Party 2: 39.52); (Party 3: 6.4); (Party 4: 3.86); (Party 5: 0.03); (Party 6: 0.0); (Party 7: 0.01)'
Consultant B,2024-05-14,2024-05-18,2269,Rumania,Face_to_face,11.59,'(Party 1: 2.9); (Party 2: 84.63); (Party 3: 8.59); (Party 4: 0.81); (Party 5: 2.35); (Party 6: 0.34); (Party 7: 0.06); (Party 8: 0.03); (Party 9: 0.18); (Party 10: 0.02); (Party 11: 0.07); (Party 12: 0.02)'
Consultant B,2024-05-18,2024-05-30,3258,Alemania,Internet,24.14,'(Party 1: 74.17); (Party 2: 16.51); (Party 3: 0.83); (Party 4: 1.65); (Party 5: 2.27); (Party 6: 0.79); (Party 7: 0.66); (Party 8: 0.94); (Party 9: 0.27); (Party 10: 1.21); (Party 11: 0.26); (Party 12: 0.14); (Party 13: 0.25); (Party 14: 0.03); (Party 15: 0.0); (Party 16: 0.0); (Party 17: 0.02)'
Consultant B,2024-05-18,2024-05-29,2035,Belgica,Telephone,32.46,'(Party 1: 6.0); (Party 2: 62.09)'
Consultant B,2024-05-06,2024-05-24,2520,Austria,Telephone,24.56,'(Party 1: 70.41); (Party 2: 27.99); (Party 3: 0.57); (Party 4: 0.3)'
Consultant B,2024-05-14,2024-05-24,3900,Hungria,Face_to_face,31.16,'(Party 1: 63.15); (Party 2: 7.42); (Party 3: 5.78); (Party 4: 0.34); (Party 5: 6.13); (Party 6: 4.46); (Party 7: 8.59); (Party 8: 2.06); (Party 9: 0.25)'
Consultant A,2024-05-19,2024-05-28,2707,Finlandia,Telephone,34.06,'(Party 1: 19.95); (Party 2: 51.35); (Party 3: 16.45); (Party 4: 0.79)'
Consultant A,2024-05-10,2024-05-30,3757,Suecia,Internet,10.19,'(Party 1: 71.43); (Party 2: 25.46); (Party 3: 2.57); (Party 4: 0.05); (Party 5: 0.01); (Party 6: 0.14); (Party 7: 0.09); (Party 8: 0.2); (Party 9: 0.04); (Party 10: 0.01)'
Consultant B,2024-05-16,2024-05-27,3025,Luxemburgo,Face_to_face,23.97,'(Party 1: 80.97); (Party 2: 4.31); (Party 3: 0.74); (Party 4: 7.43); (Party 5: 0.94); (Party 6: 2.25); (Party 7: 2.58); (Party 8: 0.59); (Party 9: 0.17); (Party 10: 0.01); (Party 11: 0.01)'
Consultant A,2024-05-19,2024-05-28,2918,Irlanda,Internet,13.47,'(Party 1: 39.24); (Party 2: 11.31); (Party 3: 36.8); (Party 4: 1.43); (Party 5: 1.03); (Party 6: 0.32); (Party 7: 5.69); (Party 8: 1.75); (Party 9: 1.78); (Party 10: 0.28); (Party 11: 0.09); (Party 12: 0.14); (Party 13: 0.02); (Party 14: 0.07)'
Consultant B,2024-05-09,2024-05-17,2481,Chipre,Telephone,15.8,'(Party 1: 6.3); (Party 2: 66.86); (Party 3: 13.53); (Party 4: 1.3); (Party 5: 7.4); (Party 6: 2.64); (Party 7: 1.71); (Party 8: 0.16); (Party 9: 0.04); (Party 10: 0.04)'
Consultant A,2024-05-10,2024-05-16,3594,Paises Bajos,Internet,39.95,'(Party 1: 37.92); (Party 2: 54.7)'
